,CHI,OMEGA,OMEGA_Cont,X_LUT,Y_LUT,Z_LUT
0,0.0,5.0,5.0,0.0010212652020203344,-0.000572453252525249,-0.0011106054444443743
1,0.0,15.0,15.0,0.0010148298674700043,-0.0005813332048192732,-0.0016612175903613696
2,0.0,25.0,25.0,0.0010784128214286997,-0.0007531599047619016,-0.0020478259047618428
3,0.0,35.0,35.0,0.0011732686746989598,-0.0011268742891566215,-0.0025647886024095707
4,0.0,45.0,45.0,0.0013353238915664299,-0.0015933720240963827,-0.002778496493975835
5,0.0,55.0,55.0,0.0014491388674700066,-0.0020559105783132495,-0.0027616204337348686
6,0.0,65.0,65.0,0.0015749313690477543,-0.0026275524166666647,-0.0025010130238094534
7,0.0,75.0,75.0,0.0017593842195123101,-0.0032488347804878,-0.002089169243902377
8,0.0,85.0,85.0,0.0019033489642858105,-0.0036658098690476155,-0.0015369533333332627
9,0.0,95.0,95.0,0.002082687168674862,-0.0038655581686746947,-0.0008806453493975288
10,0.0,105.0,105.0,0.0023113364880954024,-0.0038334229166666622,-3.85495238088602e-06
11,0.0,115.0,115.0,0.002458420301204907,-0.0031847102530120435,0.0008807789759036875
12,0.0,125.0,125.0,0.0026271007500001347,-0.002655349285714281,0.0017714512857143522
13,0.0,135.0,135.0,0.0028010306585366843,-0.0020725338902438982,0.0023603207073171384
14,0.0,145.0,145.0,0.0029124994880953547,-0.0011074547499999967,0.002659291250000067
15,0.0,155.0,155.0,0.0029660970722892805,-0.00015964420481927327,0.002725653602409702
16,0.0,165.0,165.0,0.003013666578313392,0.0010414055180722952,0.0025996527951807923
17,0.0,175.0,175.0,0.00304911098795195,0.002112628566265063,0.002185689337349465
18,0.0,185.0,185.0,0.003043355674698928,0.002813782903614462,0.0015733325662651329
19,0.0,195.0,195.0,0.002981051607142999,0.003249229392857148,0.0007414631309524503
20,0.0,205.0,205.0,0.002940466380952525,0.0033764858333333366,-0.00018816491666659706
21,0.0,215.0,215.0,0.002881968750000125,0.003320082690476193,-0.0011830773571427922
22,0.0,225.0,225.0,0.0028085090000001026,0.002987529402439027,-0.002088173036585295
23,0.0,235.0,235.0,0.0026761809156627342,0.002333378012048198,-0.0027996674337348757
24,0.0,245.0,245.0,0.0025113390722893113,0.0017059781084337372,-0.003124229192771016
25,0.0,255.0,255.0,0.002363898951807328,0.0008254532891566305,-0.003286745192771018
26,0.0,265.0,265.0,0.0021656541566266257,-3.96463614457772e-05,-0.00335051020481921
27,0.0,275.0,275.0,0.0019843642000001074,-0.0007156821999999951,-0.003197816799999923
28,0.0,285.0,285.0,0.0018414077073172165,-0.001248342975609752,-0.0028338090609755407
29,0.0,295.0,295.0,0.0016598594285715555,-0.001583403726190473,-0.002244292928571357
30,0.0,305.0,305.0,0.0014923544216868404,-0.0018428816144578284,-0.0016703466746987325
31,0.0,315.0,315.0,0.0013409782650604107,-0.001918996084337347,-0.0012144868915661977
32,0.0,325.0,325.0,0.0012371260722892823,-0.0018310754698795137,-0.0009123142771083654
33,0.0,335.0,335.0,0.0011769267349398416,-0.001502260626506021,-0.0007753765301204104
34,0.0,345.0,345.0,0.001141016421686907,-0.0008944124216867445,-0.0007670590120481232
35,0.0,355.0,355.0,0.0011347883019572722,-0.0006580244874184492,-0.0006873406840633051
36,10.0,5.0,365.0,-0.008995197712871142,0.04257201532673268,-0.022630768029702906
37,10.0,15.0,375.0,-0.00890704297619033,0.03773102663095239,-0.03088559152380946
38,10.0,25.0,385.0,-0.008860309073170631,0.031821128390243904,-0.037534872560975534
39,10.0,35.0,395.0,-0.00875555660240954,0.024699475807228914,-0.04314051291566258
40,10.0,45.0,405.0,-0.008650949857142695,0.0172140648452381,-0.04712674974999994
41,10.0,55.0,415.0,-0.008507530619047469,0.008629234654761907,-0.049727512726190415
42,10.0,65.0,425.0,-0.008351181096385421,-0.0004184366144578273,-0.050668601228915595
43,10.0,75.0,435.0,-0.008146224719512042,-0.009470188134146339,-0.05010915310975602
44,10.0,85.0,445.0,-0.007996228523809419,-0.017972582916666664,-0.04766357008333327
45,10.0,95.0,455.0,-0.007776449048192625,-0.02611438786746988,-0.04397118587951802
46,10.0,105.0,465.0,-0.007570181373493856,-0.03306958231325301,-0.03867965415662644
47,10.0,115.0,475.0,-0.0073796471309522885,-0.03909046244047618,-0.032120571833333264
48,10.0,125.0,485.0,-0.007159613573170621,-0.04374280290243902,-0.024561188182926758
49,10.0,135.0,495.0,-0.007007724988095125,-0.0471549911547619,-0.016403451488095168
50,10.0,145.0,505.0,-0.006884022845238004,-0.048872975107142856,-0.00763249609523803
51,10.0,155.0,515.0,-0.006746833674698685,-0.0490592250120482,0.0012554778554217563
52,10.0,165.0,525.0,-0.006736401024096233,-0.047645050409638554,0.009485844686747057
53,10.0,175.0,535.0,-0.006724099771084206,-0.04467135646987952,0.017397415481927782
54,10.0,185.0,545.0,-0.006712210773809404,-0.04072049576190476,0.02479033882142864
55,10.0,195.0,555.0,-0.006683154691357899,-0.035735477592592595,0.031644999432098836
56,10.0,205.0,565.0,-0.006790933682352835,-0.02976934622352941,0.03649834742352949
57,10.0,215.0,575.0,-0.006909087554216721,-0.022898185554216865,0.04070431277108441
58,10.0,225.0,585.0,-0.007037567265060117,-0.015516516204819275,0.04368650707228923
59,10.0,235.0,595.0,-0.0071974086626504525,-0.007867915373493973,0.045538191132530194
60,10.0,245.0,605.0,-0.007329353243902275,-0.0001460099878048736,0.04617091625609764
61,10.0,255.0,615.0,-0.007541070416666518,0.007650889166666669,0.045706046714285783
62,10.0,265.0,625.0,-0.0077410608072288,0.015191449807228918,0.043635859506024166
63,10.0,275.0,635.0,-0.007915626821428429,0.022470580583333337,0.04011587671428579
64,10.0,285.0,645.0,-0.008143568915662527,0.028990655795180717,0.035827660337349465
65,10.0,295.0,655.0,-0.00833368991666655,0.03473963829761905,0.030542028476190544
66,10.0,305.0,665.0,-0.008486386662650485,0.039457000433734936,0.024327393951807292
67,10.0,315.0,675.0,-0.008662665024096251,0.04345028677108434,0.017090080349397664
68,10.0,325.0,685.0,-0.008782807156626375,0.04557134544578313,0.009494119554216935
69,10.0,335.0,695.0,-0.00885226385542156,0.046874589530120477,0.0012884793734940485
70,10.0,345.0,705.0,-0.008898055357142741,0.046859503333333344,-0.007092943702380889
71,10.0,355.0,715.0,-0.00902431000077088,0.0442868769691596,-0.01922641762143401
72,20.0,5.0,725.0,-0.02401438048854948,0.10476305439694657,-0.045545307206106805
73,20.0,15.0,735.0,-0.023984101072289012,0.09359547590361447,-0.06642721071084332
74,20.0,25.0,745.0,-0.02386724183132516,0.08068892345783132,-0.08194314085542163
75,20.0,35.0,755.0,-0.023730908416666533,0.06521298213095238,-0.0952244492261904
76,20.0,45.0,765.0,-0.023571064301204654,0.047648080397590366,-0.10553305942168668
77,20.0,55.0,775.0,-0.023429416353658368,0.0287901012804878,-0.11258392185365848
78,20.0,65.0,785.0,-0.023200821341176306,0.008531703376470592,-0.11603096384705877
79,20.0,75.0,795.0,-0.02299381460975597,-0.012119770402439023,-0.11587981348780482
80,20.0,85.0,805.0,-0.02276128789285699,-0.03240833358333333,-0.11217983799999995
81,20.0,95.0,815.0,-0.02256043014634127,-0.05144284374390243,-0.10500129004878042
82,20.0,105.0,825.0,-0.022378382976190346,-0.06857209227380953,-0.09464032742857137
83,20.0,115.0,835.0,-0.02214245650602399,-0.08369965257831324,-0.08116582591566258
84,20.0,125.0,845.0,-0.021911592048780373,-0.09640692720731707,-0.06509251993902433
85,20.0,135.0,855.0,-0.021735651785714107,-0.10592832395238097,-0.04712309761904756
86,20.0,145.0,865.0,-0.021622212285714187,-0.11203193289285715,-0.02757872347619041
87,20.0,155.0,875.0,-0.021504231216867332,-0.1147753371445783,-0.007485183192771016
88,20.0,165.0,885.0,-0.021452944807228785,-0.11383960673493974,0.012423323542168744
89,20.0,175.0,895.0,-0.02145375890361432,-0.1095610329518072,0.031814675277108496
90,20.0,185.0,905.0,-0.02146769432530108,-0.10202161061445783,0.05019691142168682
91,20.0,195.0,915.0,-0.021564898554216734,-0.09167382637349399,0.06676825118072298
92,20.0,205.0,925.0,-0.021666647083333244,-0.07867118352380952,0.08135174182142865
93,20.0,215.0,935.0,-0.02180151108333321,-0.06317979819047619,0.09342998447619055
94,20.0,225.0,945.0,-0.021938122903614334,-0.04588385540963855,0.10267416654216875
95,20.0,235.0,955.0,-0.02211021154216854,-0.02746170528915662,0.10898432972289164
96,20.0,245.0,965.0,-0.02229374474999985,-0.00805879058333333,0.11227483176190482
97,20.0,255.0,975.0,-0.022542922397590204,0.011293612855421692,0.11208386583132537
98,20.0,265.0,985.0,-0.022801744843373377,0.030384149554216866,0.10848341303614464
99,20.0,275.0,995.0,-0.02300772915662637,0.048532458783132525,0.10155695407228922
100,20.0,285.0,1005.0,-0.023201080337349248,0.06533944787951808,0.09170012500000008
101,20.0,295.0,1015.0,-0.023416391130952237,0.08034259678571429,0.07912385710714293
102,20.0,305.0,1025.0,-0.023573655999999842,0.09268383957831326,0.06428896259036151
103,20.0,315.0,1035.0,-0.023749916634146193,0.10221415157317074,0.047495215621951296
104,20.0,325.0,1045.0,-0.023863083666666514,0.10894618920238094,0.029124322464285788
105,20.0,335.0,1055.0,-0.023959756192770933,0.11268181143373496,0.009555480240963924
106,20.0,345.0,1065.0,-0.024022222964285588,0.11317598684523811,-0.010392315071428501
107,20.0,355.0,1075.0,-0.02401431155134268,0.10748194467772511,-0.03911878963902047
108,30.0,5.0,1085.0,-0.05079591864429522,0.18316669916778525,-0.07664823780536907
109,30.0,15.0,1095.0,-0.05055488124096371,0.16268939177108432,-0.11357994943373487
110,30.0,25.0,1105.0,-0.05047790615853645,0.14062171135365853,-0.14042808235365847
111,30.0,35.0,1115.0,-0.05031416173809513,0.11415829134523811,-0.16308324938095234
112,30.0,45.0,1125.0,-0.050141051289156496,0.0839672168554217,-0.18090665315662646
113,30.0,55.0,1135.0,-0.049959828506023964,0.051306927060240974,-0.1929521910120482
114,30.0,65.0,1145.0,-0.04971284902409625,0.01686146219277109,-0.19904282285542169
115,30.0,75.0,1155.0,-0.049470033048192634,-0.018054169698795176,-0.1990399254578313
116,30.0,85.0,1165.0,-0.04923106649999987,-0.052825545964285715,-0.1930477383928571
117,30.0,95.0,1175.0,-0.04899325036144565,-0.08576659096385543,-0.18101001814457826
118,30.0,105.0,1185.0,-0.04883131027710831,-0.11531300992771082,-0.16371232348192763
119,30.0,115.0,1195.0,-0.048688235630952224,-0.14161979109523812,-0.1412503005119047
120,30.0,125.0,1205.0,-0.048421452831325144,-0.16366090773493974,-0.11404148416867463
121,30.0,135.0,1215.0,-0.04825735781707303,-0.18069184765853658,-0.08382827381707311
122,30.0,145.0,1225.0,-0.04815147814117637,-0.1922845806823529,-0.051009662847058754
123,30.0,155.0,1235.0,-0.048009695060240866,-0.19794889749397593,-0.01657670496385535
124,30.0,165.0,1245.0,-0.047942617433734805,-0.19735381960240966,0.018000524265060314
125,30.0,175.0,1255.0,-0.04789084087804867,-0.1908315568170732,0.051655975219512276
126,30.0,185.0,1265.0,-0.047945589199999875,-0.1785848518352941,0.08384162997647066
127,30.0,195.0,1275.0,-0.048071174253011904,-0.1610785575180723,0.11340041797590368
128,30.0,205.0,1285.0,-0.04819405049397578,-0.13887577101204818,0.13946496734939767
129,30.0,215.0,1295.0,-0.04833911248809511,-0.1124291302738095,0.16125976085714294
130,30.0,225.0,1305.0,-0.048485265158536434,-0.0828398927195122,0.17798595576829276
131,30.0,235.0,1315.0,-0.04870355345238084,-0.050784142726190466,0.18963055964285724
132,30.0,245.0,1325.0,-0.04890618957142846,-0.016758638119047615,0.19560109196428574
133,30.0,255.0,1335.0,-0.04914136047560962,0.017012642829268294,0.1956160897195123
134,30.0,265.0,1345.0,-0.04944795692771073,0.050396231445783125,0.18982448456626513
135,30.0,275.0,1355.0,-0.04970099807142846,0.08272977004761906,0.17811684576190484
136,30.0,285.0,1365.0,-0.04988160454216857,0.11248203133734937,0.16105348400000008
137,30.0,295.0,1375.0,-0.050089805154761816,0.13895163008333333,0.1390657167261906
138,30.0,305.0,1385.0,-0.05028960868674687,0.16086171600000004,0.11305244144578322
139,30.0,315.0,1395.0,-0.05047744325301194,0.17794051825301202,0.08376649733734946
140,30.0,325.0,1405.0,-0.050601847024390155,0.18991540342682925,0.05163362995121958
141,30.0,335.0,1415.0,-0.05070686432142847,0.19640946974999998,0.017822077154761976
142,30.0,345.0,1425.0,-0.05075150383132514,0.19705306416867469,-0.016668692638554153
143,30.0,355.0,1435.0,-0.05087331712390076,0.1874974965723421,-0.06671638466906468
144,40.0,5.0,1445.0,-0.09330789149462357,0.2657954497956989,-0.12099469677419349
145,40.0,15.0,1455.0,-0.09324853107142847,0.23928816263095237,-0.1679630777023809
146,40.0,25.0,1465.0,-0.09308039371084327,0.20642407809638555,-0.207497467939759
147,40.0,35.0,1475.0,-0.09288901445783122,0.16742308597590363,-0.24048838563855424
148,40.0,45.0,1485.0,-0.0926573614047618,0.12298773278571432,-0.2661880404166667
149,40.0,55.0,1495.0,-0.0923564618313252,0.07473992012048193,-0.28357798910843374
150,40.0,65.0,1505.0,-0.09202519518072279,0.024255562084337347,-0.2921413729036144
151,40.0,75.0,1515.0,-0.09172339436904749,-0.02726684122619047,-0.2918789068095238
152,40.0,85.0,1525.0,-0.0914178726626505,-0.0778693976987952,-0.282697918566265
153,40.0,95.0,1535.0,-0.0911824011686746,-0.12600678218072286,-0.26502844134939757
154,40.0,105.0,1545.0,-0.09102271762650586,-0.16958438222891567,-0.23940720148192765
155,40.0,115.0,1555.0,-0.09088292742168665,-0.20858233396385545,-0.20633584267469873
156,40.0,125.0,1565.0,-0.09065701130120465,-0.24075141750602413,-0.16670385348192765
157,40.0,135.0,1575.0,-0.09057415974698782,-0.2658784481084337,-0.12242704446987945
158,40.0,145.0,1585.0,-0.09047313754761892,-0.28298247696428575,-0.07446802930952374
159,40.0,155.0,1595.0,-0.09040220803614446,-0.2913459105783133,-0.024409546722891487
160,40.0,165.0,1605.0,-0.09034866228915647,-0.29064089895180717,0.02614135143373502
161,40.0,175.0,1615.0,-0.09039405832530104,-0.28115232327710843,0.07585032061445793
162,40.0,185.0,1625.0,-0.0904554750476189,-0.26313535126190474,0.12355571067857148
163,40.0,195.0,1635.0,-0.09059648074999986,-0.23719395616666666,0.16747756915476197
164,40.0,205.0,1645.0,-0.09075842162650591,-0.2045602380240964,0.2057471962891567
165,40.0,215.0,1655.0,-0.09095592354216855,-0.16590759943373495,0.23790925613253022
166,40.0,225.0,1665.0,-0.09113087590476183,-0.12195372023809524,0.26309615457142865
167,40.0,235.0,1675.0,-0.0913658186506023,-0.07431801310843374,0.2804290756867471
168,40.0,245.0,1685.0,-0.09160931604819268,-0.024817016975903616,0.28903807156626504
169,40.0,255.0,1695.0,-0.09190491346428559,0.025510856535714294,0.28907953810714293
170,40.0,265.0,1705.0,-0.09215155271084323,0.0751048953614458,0.28020131843373497
171,40.0,275.0,1715.0,-0.09240820474999986,0.12259103709523812,0.2628150845
172,40.0,285.0,1725.0,-0.0926099642771083,0.16669148680722895,0.2374386718192771
173,40.0,295.0,1735.0,-0.09288287651807216,0.20519315767469878,0.20514250583132534
174,40.0,305.0,1745.0,-0.09311881057831313,0.2376140438554217,0.16664119492771093
175,40.0,315.0,1755.0,-0.09331034679518062,0.2629772810843374,0.12302013973493986
176,40.0,325.0,1765.0,-0.09342933595238084,0.28043207384523816,0.07522162416666674
177,40.0,335.0,1775.0,-0.09353900025609745,0.2896814680487805,0.02533454423170739
178,40.0,345.0,1785.0,-0.0935977663095237,0.2902494070119048,-0.025340045202380885
179,40.0,355.0,1795.0,-0.09311684444708411,0.2755845444427646,-0.09609277578401722
